name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
3FHL J0304.3-2833,PointSource,46.07705876,-28.55622635,,8.89764E-16,,,,
3FHL J2243.9+2020,PointSource,340.9820443,20.34780776,,2.21469E-14,,,,
3FHL J2255.2+2410,PointSource,343.8055395,24.1806954,,1.44972E-15,,,,
3FHL J1231.6+6415,PointSource,187.90546,64.26630588,,5.6019E-16,,,,
3FHL J1253.9+6242,PointSource,193.4769747,62.71339214,,4.62558E-16,,,,
3FHL J1258.3+6121,PointSource,194.5815826,61.36655713,,9.05288E-16,,,,
3FHL J1103.9-5356,PointSource,165.9845397,-53.94321114,,6.12861E-15,,,,
3FHL J1117.2-5338,PointSource,169.3109168,-53.63425594,,4.41329E-15,,,,
3FHL J1125.0-5806,PointSource,171.2699121,-58.11169291,,1.53904E-15,,,,
3FHL J1124.4-5916,PointSource,171.1051555,-59.26853132,,6.56645E-16,,,,
3FHL J1409.1-6121e,DiffuseSource,212.294,-61.353,0.733137,3.39934E-14,,,,
3FHL J1420.3-6046e,DiffuseSource,215.08,-60.78,0.123,4.32614E-15,,,,
3FHL J1405.1-6118,PointSource,211.2756806,-61.30177729,,2.88116E-15,,,,
3FHL J1427.9-6054,PointSource,216.9933937,-60.9103411,,2.0257E-15,,,,
3FHL J1413.5-6204,PointSource,213.3994894,-62.08104019,,4.03589E-14,,,,
3FHL J1418.6-6058,PointSource,214.6705802,-60.97196259,,2.90866E-14,,,,
3FHL J1422.4-6138,PointSource,215.6110908,-61.64326179,,2.2231E-14,,,,
3FHL J0232.8+2017,PointSource,38.22362217,20.2983611,,3.99833E-16,,,,
3FHL J0238.6+1637,PointSource,39.67103478,16.62711067,,1.2142E-14,,,,
3FHL J0243.3+1915,PointSource,40.8486977,19.26276457,,1.05233E-15,,,,
3FHL J0250.5+1712,PointSource,42.64819976,17.21461617,,7.62494E-16,,,,
3FHL J1624.9+2328,PointSource,246.2338208,23.46774389,,3.89966E-16,,,,
3FHL J1132.7+0033,PointSource,173.1841039,0.562603082,,4.44761E-15,,,,
3FHL J1154.1-0010,PointSource,178.5264386,-0.180381296,,2.44228E-15,,,,
3FHL J1200.3+0201,PointSource,180.0944791,2.029020854,,2.36504E-15,,,,
3FHL J0335.1-4459,PointSource,53.78271055,-44.98756102,,1.87423E-15,,,,
3FHL J2211.0-0003,PointSource,332.7731515,-0.063355026,,1.18907E-15,,,,
3FHL J2227.8+0036,PointSource,336.9716362,0.610116253,,7.38816E-16,,,,
3FHL J0622.4-2606,PointSource,95.60686297,-26.11250778,,3.29922E-15,,,,
3FHL J0630.9-2406,PointSource,97.73999077,-24.11179312,,2.5066E-14,,,,
3FHL J1723.8-7714,PointSource,260.9690429,-77.2433045,,1.88948E-15,,,,
3FHL J1922.6-7452,PointSource,290.6630993,-74.88094958,,6.57173E-16,,,,
